,address,city,state,postal_code,price,facts and features,real estate provider,url,title
922,,Willow Street,PA,17584,"$589,000 ","9 bds, 8.0 ba ,4400 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/2835-Willow-Street-Pike-N-Willow-Street-PA-17584/2083906720_zpid/,House for sale
923,,Willow Street,PA,17584,"$212,400+","3 bds, 2.0 ba ,1403 sqft",Garman Builders,https://www.zillow.com/community/penn-grant-townhomes/2085335038_zpid/,New construction
924,,Lancaster,PA,17602,"$55,000 ","0 bds, None ba ,None sqft",RE/MAX Pinnacle,https://www.zillow.com/homedetails/0-Herr-Ave-Lancaster-PA-17602/2087941237_zpid/,Lot / Land for sale
925,,Lancaster,PA,17584,"$224,990 ","3 bds, 3.0 ba ,1401 sqft",Garman Builders,https://www.zillow.com/homedetails/6-Southside-Dr-Lancaster-PA-17584/306952554_zpid/,New construction
926,,Willow Street,PA,17584,"$243,990 ","3 bds, 3.0 ba ,1401 sqft",Garman Builders,https://www.zillow.com/homedetails/39-Southside-Dr-Willow-Street-PA-17584/2084637630_zpid/,New construction
927,,Lancaster,PA,17603,"$295,250 ","3 bds, 3.0 ba ,1898 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/209-Weatherfield-Pl-LOT-66-Lancaster-PA-17603/2082962661_zpid/,New construction
928,,Willow Street,PA,17584,"$175,000 ","None bds, None ba ,None sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-Radcliff-Rd-2-Willow-Street-PA-17584/2082756560_zpid/,Lot / Land for sale
929,,Lancaster,PA,17602,"$349,000 ","2 bds, 1.0 ba ,1512 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/607-Beaver-Valley-Pike-Lancaster-PA-17602/9730765_zpid/,House for sale
930,,Willow Street,PA,17584,"$227,525 ","3 bds, 3.0 ba ,1800 sqft",Millfield Realty,https://www.zillow.com/homedetails/721-Danforth-Cir-5-Willow-Street-PA-17584/2078772169_zpid/,New construction
931,,Willow Street,PA,17584,"$88,000 ","None bds, None ba ,None sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-Radcliff-Rd-3-Willow-Street-PA-17584/2082756551_zpid/,Lot / Land for sale
932,,Willow Street,PA,17584,"$214,400+","3 bds, 2.0 ba ,1401 sqft",Garman Builders,https://www.zillow.com/community/penn-grant-townhomes/2085335036_zpid/,New construction
933,,Willow Street,PA,17584,"$232,400+","3 bds, 3.0 ba ,1695 sqft",Garman Builders,https://www.zillow.com/community/penn-grant-townhomes/2085335039_zpid/,New construction
934,,Lancaster,PA,17602,"$238,000 ","0 bds, None ba ,None sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/601-Beaver-Valley-Pike-Lancaster-PA-17602/2103788748_zpid/,Lot / Land for sale
935,,Lancaster,PA,17603,"$304,900 ","3 bds, 3.0 ba ,1902 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/352-Wendover-Way-LOT-33-Lancaster-PA-17603/2081039244_zpid/,New construction
936,,Willow Street,PA,17584,"$97,000 ","None bds, None ba ,None sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-Radcliff-Rd-6-Willow-Street-PA-17584/2082689494_zpid/,Lot / Land for sale
937,,Lancaster,PA,17603,"$284,900 ","3 bds, 3.0 ba ,1667 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/348-Wendover-Way-LOT-35-Lancaster-PA-17603/2081020893_zpid/,New construction
938,,Willow Street,PA,17584,"$148,500 ","None bds, None ba ,None sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-Radcliff-Rd-1-Willow-Street-PA-17584/2082756552_zpid/,Lot / Land for sale
939,,Lancaster,PA,17603,"$284,900 ","3 bds, 3.0 ba ,1667 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/350-Wendover-Way-LOT-34-Lancaster-PA-17603/2081039265_zpid/,New construction
940,,Willow Street,PA,17584,,"3 bds, 1.5 ba ,1472 sqft",,https://www.zillow.com/homedetails/103-Dianne-Cir-Willow-Street-PA-17584/9730450_zpid/,Pre-foreclosure / Auction
941,,Willow Street,PA,17584,,"2 bds, 2.0 ba ,1664 sqft",,https://www.zillow.com/homedetails/652-Millwood-Rd-Willow-Street-PA-17584/54240386_zpid/,Pre-foreclosure / Auction
